Country,"YearlyWater Used(m³, thousand of litres)",Daily Water UsedPer Capita (litres),Population
Afghanistan,20280000000,2760,20130327
Albania,1311000000,1177,3050809
Algeria,9978000000,669,40850721
Angola,705800000,100,19291161
Antigua and Barbuda,11500000,361,87260
Argentina,37780000000,2480,41730660
Armenia,2847000000,2676,2914963
Australia,16130000000,1816,24329963
Austria,3492000000,1144,8365092
Azerbaijan,12780000000,3512,9968510
Bahrain,434400000,832,1429604
Bangladesh,35870000000,657,149474264
Barbados,81000000,826,268706
Belarus,1452000000,419,9499064
Belgium,6005000000,1522,10812935
Belize,101000000,1149,240799
Benin,130000000,48,7445596
Bhutan,338000000,1349,686351
Bolivia,2088000000,571,10016275
Bosnia and Herzegovina,327900000,249,3610859
Botswana,201300000,247,2234776
Brazil,63500000000,856,203218114
Brunei,92000000,887,284091
Bulgaria,5629000000,2149,7177517
Burkina Faso,818000000,161,13932123
Burundi,288000000,122,6470194
Cabo Verde,22000000,131,460293
Cambodia,2184000000,439,13639028
Cameroon,966400000,178,14912631
Canada,35730000000,2722,35962234
Central African Republic,72500000,46,4288810
Chad,879600000,233,10328092
Chile,35430000000,5880,16509195
China,598100000000,1174,1396134174
Colombia,11770000000,737,43758808
Comoros,10000000,52,525886
Congo,46000000,38,3350771
Costa Rica,3194000000,1816,4818038
Côte d'Ivoire,1162000000,130,24527395
Croatia,633800000,409,4242398
Cuba,6959000000,1688,11298167
Cyprus,317000000,702,1237112
Czech Republic (Czechia),1635000000,425,10531948
Denmark,652000000,319,5591917
Djibouti,19000000,70,747318
Dominica,20000000,796,68859
Dominican Republic,7156000000,1996,9820175
DR Congo,683600000,32,58775724
Ecuador,9918000000,1962,13846163
Egypt,77500000000,2048,103696057
El Salvador,2118000000,966,6005578
Equatorial Guinea,17400000,68,703279
Eritrea,582000000,614,2598284
Estonia,1720000000,3585,1314452
Eswatini,1042000000,2741,1041414
Ethiopia,10550000000,271,106718162
Fiji,84900000,264,882379
Finland,6562000000,3414,5266247
France,29370000000,1236,65086855
Gabon,139100000,260,1463495
Gambia,90500000,170,1455084
Georgia,1823000000,1267,3941195
Germany,25330000000,856,81041582
Ghana,982000000,137,19637087
Greece,9630000000,2389,11045737
Grenada,14100000,338,114132
Guatemala,3324000000,681,13367459
Guinea,553300000,178,8539960
Guinea-Bissau,175000000,388,1234741
Guyana,1445000000,5284,749256
Haiti,1450000000,410,9689581
Honduras,1607000000,618,7119213
Hungary,5051000000,1395,9916623
Iceland,278300000,2304,330952
India,761000000000,1677,1243481564
Indonesia,222600000000,2305,264627418
Iran,93300000000,3638,70256316
Iraq,38550000000,2745,38469627
Ireland,757000000,457,4533752
Israel,1954000000,809,6615087
Italy,34190000000,1546,60575316
Jamaica,1354000000,1320,2809915
Japan,81450000000,1741,128192470
Jordan,1044000000,286,10006367
Kazakhstan,22770000000,3397,18363600
Kenya,4032000000,229,48139687
Kuwait,913200000,1215,2059974
Kyrgyzstan,8007000000,4153,5282453
Laos,3493000000,1630,5869523
Latvia,224400000,314,1959863
Lebanon,1840000000,779,6472469
Lesotho,43800000,60,2003913
Liberia,130800000,122,2928117
Libya,5830000000,2585,6179328
Lithuania,2768000000,2680,2829313
Luxembourg,44000000,207,583506
Madagascar,13560000000,1883,19730909
Malawi,1357000000,290,12840031
Malaysia,11200000000,1188,25836071
Maldives,5900000,48,336170
Mali,5186000000,1016,13990139
Malta,62800000,378,455269
Mauritania,1350000000,1258,2939059
Mauritius,725000000,1599,1242099
Mexico,86580000000,1940,122251351
Moldova,1065000000,758,3851396
Monaco,5000000,423,32364
Mongolia,462400000,417,3040812
Montenegro,160900000,697,632088
Morocco,10430000000,880,32467016
Mozambique,1473000000,152,26547572
Myanmar,33230000000,2010,45290841
Namibia,288000000,417,1889970
Nepal,9497000000,979,26565425
Netherlands,8919000000,1435,17030089
New Zealand,5201000000,3277,4347770
Nicaragua,1545000000,727,5819051
Niger,1747000000,231,20685753
Nigeria,12470000000,205,166642886
North Korea,8658000000,972,24396433
North Macedonia,551200000,725,2081972
Norway,3026000000,1761,4709010
Oman,1321000000,1531,2363796
Pakistan,183500000000,2653,189499113
Panama,1211000000,823,4029086
Papua New Guinea,392100000,164,6535905
Paraguay,2413000000,1121,5897008
Peru,13660000000,1303,28719041
Philippines,85140000000,2185,106735719
Poland,10580000000,758,38263265
Portugal,9151000000,2377,10546825
Puerto Rico,4153000000,3063,3714836
Qatar,444000000,1474,825408
Romania,6374000000,883,19777051
Russia,69500000000,1306,145778677
Rwanda,150000000,50,8213931
Saint Kitts & Nevis,15600000,909,47033
Saint Lucia,42900000,701,167758
Sao Tome & Principe,40900000,550,203689
Saudi Arabia,23350000000,2078,30782402
Senegal,2221000000,581,10466214
Serbia,4707000000,1810,7126083
Seychelles,13700000,420,89266
Sierra Leone,212200000,106,5501712
Singapore,190000000,229,2268523
Slovakia,535000000,270,5427259
Slovenia,887300000,1179,2061373
Somalia,3298000000,912,9909157
South Africa,15500000000,777,54678791
South Korea,29200000000,1672,47851644
South Sudan,658000000,175,10288109
Spain,32850000000,1926,46720188
Sri Lanka,12950000000,1755,20216524
St. Vincent & Grenadines,8500000,215,108135
State of Palestine,363600000,215,4632739
Sudan,26930000000,2041,36140806
Suriname,615900000,3214,524997
Sweden,2689000000,786,9378232
Switzerland,2005000000,687,7998926
Syria,16760000000,2441,18814091
Tajikistan,11490000000,4460,7057566
Tanzania,5184000000,393,36121304
Thailand,57310000000,2340,67102394
Timor-Leste,1172000000,3456,929074
Togo,169000000,86,5413274
Trinidad and Tobago,383200000,753,1394983
Tunisia,4875000000,1146,11650498
